关键词,国家代码,广告标题,广告URL,目标URL,真实目标URL,Ref参数,Ch参数,UTM Campaign参数,广告描述,位置,抓取时间
bingx exchange,ja,Bingx Official Site | Fast Deposit & Withdrawal | Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwj8o_XUvsqPAxUjm1AGHU01C5sYACICCAIQABoCZGc&co=1&ase=2&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAMYASAAEgI4ifD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3WwwStwcEdHqrkqXdjOBTv8hPVpQ&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664365835&gbraid=0AAAAApDpv3--8WeH7HXVLdQbBklhfmIyq&gclid=EAIaIQobChMI_KP11L7KjwMVI5tQBh1NNQubEAMYASAAEgI4ifD_BwE,IGXFYC,,,,7,2025-09-09 09:06:38.073240
bingx exchange,tw,BingX Spot Exchange | BingX Derivatives Exchange,https://www.google.com/aclk?sa=L&ai=DChsSEwjLvdzQvsqPAxXX_nkEHYUbCicYACICCAEQABoCd2Y&ae=2&co=1&ase=2&gclid=EAIaIQobChMIy73c0L7KjwMV1_55BB2FGwonEAAYASAAEgKhIvD_BwE&cce=2&category=acrcp_v1_71&sig=AOD64_2Gt05C3_XqoW5jSdHC76VdLfwnwg&q&nis=4&adurl,,https://bingx.com/?ch=google_cpc_sem_infi_ww_bingxoffical&ref=AVSTF3&utm_campaign=sem_infi_ww_bingxoffical&utm_medium=cpc&utm_source=google&gclsrc=aw.ds&gad_source=1&gad_campaignid=22616120115&gbraid=0AAAAA-DO3fB8dPhmlrAKcytwyJoVtRBwq&gclid=EAIaIQobChMIy73c0L7KjwMV1_55BB2FGwonEAAYASAAEgKhIvD_BwE,AVSTF3,google_cpc_sem_infi_ww_bingxoffical,sem_infi_ww_bingxoffical,,1,2025-09-09 09:06:29.474750
bingx exchange,tw,BingX Derivatives Exchange | BingX Official Site,https://www.google.com/aclk?sa=L&ai=DChsSEwjLvdzQvsqPAxXX_nkEHYUbCicYACICCAIQABoCd2Y&ae=2&co=1&ase=2&gclid=EAIaIQobChMIy73c0L7KjwMV1_55BB2FGwonEAMYASAAEgJmSfD_BwE&cce=2&category=acrcp_v1_71&sig=AOD64_0T6eLjY2BliuqlE6yotwmr_NrQLQ&q&nis=4&adurl,,https://bingx.com/?ch=google_cpc_sem_infi_ww_bingxoffical&ref=AVSTF3&utm_campaign=sem_infi_ww_bingxoffical&utm_medium=cpc&utm_source=google&gclsrc=aw.ds&gad_source=1&gad_campaignid=22616120115&gbraid=0AAAAA-DO3fB8dPhmlrAKcytwyJoVtRBwq&gclid=EAIaIQobChMIy73c0L7KjwMV1_55BB2FGwonEAMYASAAEgJmSfD_BwE,AVSTF3,google_cpc_sem_infi_ww_bingxoffical,sem_infi_ww_bingxoffical,,2,2025-09-09 09:06:29.474750
bingx exchange,de,Bingx | Fast Deposit & Withdrawal | Bingx Official Site,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwjNt6fNvsqPAxWowkwCHZ6xDkcYACICCAEQABoCdG0&co=1&ase=2&gclid=EAIaIQobChMIzbenzb7KjwMVqMJMAh2esQ5HEAAYASAAEgK8c_D_BwE&ohost=www.google.com&cid=CAASJORoJtOHRerU1Lv-4M0u2uTYy9U48GISMGLd0gPLjIGZsZ5hXQ&category=acrcp_v1_40&sig=AOD64_2_gDBowvA3pvVHvvESH7bxBFz09Q&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=SJJEEF&gad_source=1&gad_campaignid=22658258313&gbraid=0AAAAApDqXo_tK-UXs1CfAst8xVTBfuWNp&gclid=EAIaIQobChMIzbenzb7KjwMVqMJMAh2esQ5HEAAYASAAEgK8c_D_BwE,SJJEEF,,,,1,2025-09-09 09:06:22.083269
bingx exchange,de,Bingx | Fast Deposit & Withdrawal | Bingx Official Site,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwjNt6fNvsqPAxWowkwCHZ6xDkcYACICCAIQABoCdG0&co=1&ase=2&gclid=EAIaIQobChMIzbenzb7KjwMVqMJMAh2esQ5HEAMYASAAEgJhe_D_BwE&ohost=www.google.com&cid=CAASJORoJtOHRerU1Lv-4M0u2uTYy9U48GISMGLd0gPLjIGZsZ5hXQ&category=acrcp_v1_40&sig=AOD64_0_tly8hubt1oJdUD_ajfbNAVYXuQ&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664365835&gbraid=0AAAAApDpv3-33IlG8CulsVnyfnPQuLfzN&gclid=EAIaIQobChMIzbenzb7KjwMVqMJMAh2esQ5HEAMYASAAEgJhe_D_BwE,IGXFYC,,,,2,2025-09-09 09:06:22.083269
bingx,fr,Bingx,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwj5vcvDvsqPAxVOgoMHHZiDNUkYACICCAEQABoCZWY&co=1&ase=2&gclid=EAIaIQobChMI-b3Lw77KjwMVToKDBx2YgzVJEAAYASAAEgL76fD_BwE&ohost=www.google.com&cid=CAASJeRotC6r76Zf3Tdibb8EmiXFLRKL8g5_0p34dyu49IMaDj5ncZ8&category=acrcp_v1_40&sig=AOD64_31r6xbt8eUFDXhqHK-Sl0wzNOLPA&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI-b3Lw77KjwMVToKDBx2YgzVJEAAYASAAEgL76fD_BwE,IGXFYC,,,,1,2025-09-09 09:06:02.139021
bingx,fr,Bingx Official Site - Fast Deposit & Withdrawal - Bingx,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwj5vcvDvsqPAxVOgoMHHZiDNUkYACICCAIQABoCZWY&co=1&ase=2&gclid=EAIaIQobChMI-b3Lw77KjwMVToKDBx2YgzVJEAMYASAAEgK8GPD_BwE&ohost=www.google.com&cid=CAASJeRotC6r76Zf3Tdibb8EmiXFLRKL8g5_0p34dyu49IMaDj5ncZ8&category=acrcp_v1_40&sig=AOD64_3mUFuT9JFxF5CW2lwIDdkzb4PjSQ&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664293181&gbraid=0AAAAApCrACZnAZsf1Q7XSOT9K6lMEOn8x&gclid=EAIaIQobChMI-b3Lw77KjwMVToKDBx2YgzVJEAMYASAAEgK8GPD_BwE,IGXFYC,,,,2,2025-09-09 09:06:02.139021
bingx,ja,Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwiQhe6_vsqPAxW4m2wJHd4ABCcYACICCAEQABoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIkIXuv77KjwMVuJtsCR3eAAQnEAAYASAAEgJ9_vD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2SVIzZHE_KK5OEUH8JU78s01v76A&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=IGXFYC&gad_source=1&gad_campaignid=22664365835&gbraid=0AAAAApDpv3-33IlG8CulsVnyfnPQuLfzN&gclid=EAIaIQobChMIkIXuv77KjwMVuJtsCR3eAAQnEAAYASAAEgJ9_vD_BwE,IGXFYC,,,,1,2025-09-09 09:05:53.283739
bingx,ja,Bingx Official Site,https://www.google.com/aclk?sa=L&ai=DChsSEwiQhe6_vsqPAxW4m2wJHd4ABCcYACICCAIQABoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIkIXuv77KjwMVuJtsCR3eAAQnEAMYASAAEgKi3vD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0gGtoCX8oCZTXAqLnfNhbNQVXSjg&q&nis=4&adurl,,https://bingx.com/en/signalTrade/createBotOrder/?ref=SJJEEF&gad_source=1&gad_campaignid=22658258313&gbraid=0AAAAApDqXo_tK-UXs1CfAst8xVTBfuWNp&gclid=EAIaIQobChMIkIXuv77KjwMVuJtsCR3eAAQnEAMYASAAEgKi3vD_BwE,SJJEEF,,,,2,2025-09-09 09:05:53.283739
bingx,tw,BingX Official Site | BingX Trading Data,https://www.google.com/aclk?sa=L&ai=DChsSEwiVqv3zvMqPAxVS5RYFHdwAEj8YACICCAIQABoCdGw&ae=2&co=1&ase=2&gclid=EAIaIQobChMIlar987zKjwMVUuUWBR3cABI_EAMYASAAEgKuUvD_BwE&cce=2&category=acrcp_v1_71&sig=AOD64_3xGDbZFlhar4VV4QzS0h5acjTnyQ&q&nis=4&adurl,,https://bingx.com/?ch=google_cpc_sem_infi_ww_bingxoffical&ref=AVSTF3&utm_campaign=sem_infi_ww_bingxoffical&utm_medium=cpc&utm_source=google&gclsrc=aw.ds&gad_source=1&gad_campaignid=22616120115&gbraid=0AAAAA-DO3fAJugMfQLpiV8KoxR4Qzmoja&gclid=EAIaIQobChMIlar987zKjwMVUuUWBR3cABI_EAMYASAAEgKuUvD_BwE,AVSTF3,,,,1,2025-09-09 08:58:45.426875
